id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1506708,LULA,5979,100.00,35.93,76
1506807,JAIR BOLSONARO,102608,100.00,55.57,792
1506807,LULA,82030,100.00,44.43,792
1506906,JAIR BOLSONARO,1206,100.00,24.93,24
1506906,LULA,3631,100.00,75.07,24
1507003,JAIR BOLSONARO,6968,100.00,36.28,75
1507003,LULA,12237,100.00,63.72,75
1507102,JAIR BOLSONARO,2879,100.00,25.56,53
1507102,LULA,8383,100.00,74.44,53
1507151,JAIR BOLSONARO,5044,100.00,42.73,55
1507151,LULA,6761,100.00,57.27,55
1507201,JAIR BOLSONARO,4463,100.00,24.71,86
1507201,LULA,13597,100.00,75.29,86
1507300,JAIR BOLSONARO,19548,100.00,66.58,138
1507300,LULA,9812,100.00,33.42,138
1507409,JAIR BOLSONARO,4491,100.00,36.93,49
1507409,LULA,7669,100.00,63.07,49
1507458,JAIR BOLSONARO,8116,100.00,56.49,72
1507458,LULA,6252,100.00,43.51,72
1507466,JAIR BOLSONARO,1349,100.00,30.17,19
1507466,LULA,3122,100.00,69.83,19
1507474,JAIR BOLSONARO,3700,100.00,29.55,61
1507474,LULA,8820,100.00,70.45,61
1507508,JAIR BOLSONARO,3268,100.00,39.71,40
